id_commande,id_client,id_produit,date_commande,quantite,prix_unitaire,statut,ville_livraison,mode_paiement,id_livreur,date_livraison
CMD044721,C0475,P006,25/10/2023,1,10618.6,DONE,TNG,Virement,,2023-10-28
CMD002623,C0913,P046,Jan 04 2024,4,11964.26,DONE,Rabat,PayPal,,
CMD032697,C0097,P030,Nov 13 2023,-3,0.0,en_cours,tanger,Virement,L006,2023-11-20
CMD016779,C0782,P029,2024-04-16,0,0.0,KO,Marrakech,PayPal,,2024-04-22
CMD033586,C0866,P040,2023-05-13,3,0.0,KO,Casablanca,Carte,,
CMD000521,C0159,P007,Sep 08 2023,3,6863.1,annulé,Fès,PayPal,,
CMD030465,C0112,P006,2024-04-22,2,0.0,OK,Fès,Cash,,
CMD013936,C0720,P048,Dec 17 2023,-3,5482.21,retourné,Marrakech,Cash,,2023-12-18
CMD023691,C0809,P028,2024-09-07,4,2577.34,OK,Tanger,Virement,,2024-09-09
CMD005355,C0306,P046,2023-03-12,0,0.0,DONE,Rabat,Carte,,2023-03-19
CMD022891,C0965,P027,01/11/2023,0,8281.52,OK,TANGER,Virement,,2023-11-02
CMD005100,C0741,P043,Jul 28 2024,5,0.0,livré,TANGER,Cash,,2024-07-31
CMD017224,C0534,P047,Apr 27 2023,1,7629.8,livré,Rabat,Cash,,2023-05-02
CMD014165,C0357,P014,Jun 20 2023,0,0.0,en_cours,Rabat,Carte,,2023-06-27
CMD042528,C0467,P027,May 08 2023,-2,0.0,,Marrakech,Virement,,2023-05-11
CMD010660,C0556,P028,Jul 01 2023,0,0.0,KO,Agadir,Carte,,2023-07-02
CMD026954,C0107,P032,27/10/2024,5,7620.63,KO,Agadir,PayPal,,2024-11-01
CMD030775,C0974,P008,26/01/2024,-2,0.0,livré,TANGER,Virement,,2024-02-01
CMD044126,C0248,P001,2023-09-28,4,0.0,,Rabat,Virement,,2023-10-02
CMD012627,C0632,P042,Sep 05 2023,0,0.0,DONE,Rabat,PayPal,,2023-09-07
CMD033047,C0122,P041,Apr 12 2023,0,11004.15,en_cours,TNG,Cash,L006,
CMD010031,C0029,P040,Jan 12 2023,0,4619.74,retourné,Agadir,Virement,,2023-01-14
CMD016073,C0744,P050,01/11/2023,0,668.4,DONE,Fès,Carte,,2023-11-02
CMD007018,C0146,P019,Apr 15 2024,3,0.0,annulé,tanger,PayPal,,2024-04-19
CMD013782,C0704,P027,2023-03-17,0,10904.21,DONE,tanger,Virement,,2023-03-23
CMD022467,C0356,P031,13/09/2024,0,0.0,LIVRE,tanger,Cash,L039,2024-09-18
CMD023914,C0118,P014,08/06/2024,1,2676.15,KO,TANGER,Virement,,2024-06-11
CMD030609,C0764,P032,Dec 26 2024,-1,0.0,DONE,Tnja,Cash,,2024-12-29
CMD038508,C0320,P011,07/02/2024,-1,0.0,OK,Agadir,Virement,,2024-02-11
CMD023129,C0383,P041,15/03/2024,1,0.0,OK,Agadir,Virement,,2024-03-20
CMD007514,C0185,P021,2023-12-27,-3,2981.55,en_cours,Tanger,Virement,,2023-12-28
