id_commande,id_client,id_produit,date_commande,quantite,prix_unitaire,statut,ville_livraison,mode_paiement,id_livreur,date_livraison
CMD012506,C0800,P018,Sep 02 2024,2,3586.67,KO,TNG,Carte,L18,2024-09-05
CMD011125,C1239,P022,2026-01-25,4,4199.82,annulé,TANGER,Cash,L15,2026-01-31
CMD020500,C1777,P010,2024-08-22,5,4426.74,annule,Casa,Cash,L16,2024-08-29
CMD026304,C0651,P050,2026-02-19,3,3062.25,OK,Tnja,Carte,L13,2026-03-01
CMD005368,C0482,P031,2024-08-02,5,322.37,DONE,Casablanca,Carte,L19,2024-08-12
CMD016223,C1139,P017,2024-09-19,5,1105.55,en_cours,Rabat,Virement,L07,2024-09-26
CMD012543,C1688,P027,20/05/2025,3,2927.13,livré,Tanger,Carte,L19,2025-05-24
CMD032944,C0417,P029,15/05/2025,5,4553.2,annulé,RABAT,Cash,L12,2025-05-24
CMD022566,C0982,P004,01/09/2025,4,3472.39,retourné,MRK,Virement,L07,2025-09-02
CMD039699,C1545,P006,26/04/2024,1,3056.22,annulé,rabat,Carte,L16,2024-05-01
CMD007500,C0752,P036,31/01/2025,5,3944.56,livre,TANGER,PayPal,L07,2025-02-10
CMD046141,C1226,P013,19/07/2025,5,3986.87,en_cours,CAS,Carte,L04,2025-07-20
CMD009585,C0304,P046,11/04/2025,1,101.93,livré,Tnja,Carte,L16,2025-04-14
CMD022916,C0847,P018,2025-09-26,3,3517.58,KO,TANGER,PayPal,L08,2025-10-05
CMD039824,C1244,P020,2026-04-09,2,234.77,en_cours,CAS,Virement,L02,2026-04-17
CMD024697,C1113,P016,2025-07-08,3,872.08,livré,RBA,Virement,L03,2025-07-09
CMD036865,C1896,P035,17/12/2025,1,1935.63,livre,RBA,Virement,L16,2025-12-23
CMD041306,C0741,P009,2024-05-08,3,2414.75,en_cours,Tnja,PayPal,,2024-05-12
CMD032156,C0116,P013,May 21 2024,2,2033.4,KO,MARRAKECH,Cash,L10,2024-05-24
CMD003851,C0458,P028,2025-08-13,2,817.15,DONE,RABAT,Cash,,2025-08-17
CMD006809,C1693,P049,11/07/2025,2,4145.7,livré,CASA,Virement,L05,2025-07-15
CMD009799,C1662,P017,14/03/2025,4,4484.01,livré,TNG,PayPal,L10,2025-03-18
CMD009952,C1698,P031,Sep 13 2025,5,3547.24,OK,fes,PayPal,L15,2025-09-23
CMD009657,C1486,P042,May 04 2024,2,1673.44,OK,CAS,PayPal,L05,2024-05-11
CMD003793,C1509,P038,2025-08-07,3,2063.0,livré,marrakech,Virement,L14,2025-08-08
CMD044931,C0460,P033,2025-11-30,3,3398.4,livré,Marrakech,Virement,,2025-12-03
CMD015852,C0198,P042,19/05/2025,4,340.56,livré,TANGER,Virement,L06,2025-05-20
CMD000386,C1143,P036,Feb 19 2025,5,838.56,KO,Tnja,Carte,L14,2025-03-01
CMD005526,C1621,P043,Jul 08 2025,2,0.0,livre,Tanger,Virement,L20,2025-07-13
CMD028076,C1826,P001,Mar 10 2026,4,1493.27,livre,FES,Carte,L09,2026-03-17
CMD033346,C0850,P029,01/01/2025,3,2606.3,DONE,marrakech,Carte,L13,2025-01-07
CMD010172,C0001,P045,Jun 10 2024,4,4987.47,livré,CAS,Carte,L02,2024-06-13
CMD014112,C0706,P009,Aug 23 2025,4,685.93,annulé,Fès,Cash,L03,2025-08-25
CMD049281,C1704,P014,Jan 27 2025,4,1441.35,livré,tanger ,PayPal,L08,2025-02-03
CMD035536,C1640,P023,2025-02-15,3,3103.95,OK,MARRAKECH,Virement,L19,2025-02-16
CMD011918,C0795,P023,Jan 07 2026,1,892.78,livré,fes,Carte,L10,2026-01-17
CMD031303,C1118,P008,28/09/2025,2,3768.51,KO,Casa,Virement,L07,2025-10-05
CMD042191,C0046,P015,04/06/2024,2,3279.22,livré,casablanca,Virement,L15,2024-06-08
CMD025988,C1457,P015,2025-06-26,2,4678.58,livré,TNG,Virement,L12,2025-07-01
CMD041354,C0493,P035,2024-06-12,3,1902.91,annule,Tanger,Cash,L09,2024-06-20
CMD008566,C0054,P026,2025-12-18,1,2948.85,en_cours,MARRAKECH,Virement,L05,2025-12-21
CMD029187,C1895,P017,2025-12-25,2,3025.95,en_cours,marrakech,Carte,L06,2026-01-02
CMD015960,C0472,P029,2025-08-27,3,1722.31,livré,TNG,Carte,L12,2025-08-29
CMD011093,C0442,P044,31/05/2025,3,4530.17,livré,TANGER,Cash,L11,2025-06-09
CMD000213,C1083,P042,2025-03-16,2,2394.53,livré,Casa,PayPal,L07,2025-03-21
CMD023037,C0372,P026,2025-01-14,2,3903.42,annule,Rabat,Carte,L06,2025-01-24
CMD032963,C0919,P031,17/10/2024,3,916.49,annule,Fez,Cash,L18,2024-10-27
CMD018559,C1864,P017,2025-07-08,2,197.93,livré,tanger,Carte,L03,2025-07-14
CMD012567,C1932,P046,Jul 06 2025,5,2939.12,en_cours,Marrakech,Carte,L12,2025-07-13
CMD017024,C1630,P029,01/01/2026,4,1594.54,DONE,Casablanca,Virement,L09,2026-01-03
CMD004109,C0650,P018,08/05/2025,4,2683.38,annule,MARRAKECH,Virement,L07,2025-05-14
CMD023784,C0785,P028,2025-05-05,5,1280.5,KO,Rabat,Carte,L19,2025-05-08
CMD044236,C0904,P035,2025-05-20,3,4216.2,annulé,FES,PayPal,L17,2025-05-24
CMD044401,C0903,P006,23/07/2024,2,4924.6,DONE,Casablanca,PayPal,L08,2024-08-02
CMD019358,C1786,P033,2026-02-14,4,506.32,livre,FES,Cash,L05,2026-02-23
CMD036776,C1666,P005,09/09/2024,2,1385.15,livre,CASA,Virement,L18,2024-09-15
CMD048364,C0685,P020,2024-11-14,2,4101.89,livré,Fès,Virement,,2024-11-15
CMD020764,C1128,P009,27/09/2025,5,1208.05,retourné,Rabat,Virement,L08,2025-10-02
CMD000041,C1549,P015,2024-07-31,5,987.26,livré,tanger,PayPal,L11,2024-08-03
CMD035266,C0679,P008,2024-06-02,4,3115.63,livré,casablanca,Virement,L15,2024-06-03
CMD035877,C0698,P011,2026-03-28,3,3721.27,livré,tanger ,Carte,L10,2026-03-30
CMD028552,C1311,P040,26/05/2024,2,4353.74,livré,CASA,Virement,L03,2024-05-27
CMD000927,C0175,P042,Jun 13 2024,3,2079.45,KO,Casa,Virement,,2024-06-18
CMD041746,C0638,P050,2024-12-15,5,3621.48,retourné,RBA,PayPal,L17,2024-12-23
CMD007412,C1575,P037,Aug 22 2024,1,1554.23,en_cours,RBA,Cash,L10,2024-08-31
CMD012423,C0133,P012,2025-09-17,1,2166.04,retourné,marrakech,PayPal,L11,2025-09-24
CMD029194,C0673,P009,2024-05-24,2,2813.83,en_cours,casablanca,Cash,L03,2024-06-03
CMD015094,C0655,P015,Jan 10 2025,3,4233.99,livré,casablanca,Cash,L08,2025-01-16
CMD028192,C0457,P050,2025-02-22,4,808.97,annule,rabat,Cash,L01,2025-03-02
CMD030746,C1473,P008,2025-03-21,4,3452.08,OK,FES,Virement,L08,2025-03-25
CMD015082,C0924,P009,Sep 19 2025,2,1682.78,livré,Fez,Virement,L12,2025-09-27
CMD044694,C1597,P019,01/09/2024,1,626.56,livre,Tanger,Cash,L05,2024-09-05
CMD027188,C0583,P014,01/02/2025,2,584.72,retourné,fes,Virement,L19,2025-02-02
CMD032069,C0089,P026,20/02/2026,5,4140.13,KO,CASA,Carte,L08,2026-02-28
CMD005875,C0922,P048,06/12/2024,4,2205.83,livré,Marrakech,Carte,L18,2024-12-16
CMD024268,C0161,P031,Dec 25 2024,2,4083.22,KO,tanger,PayPal,L15,2024-12-30
CMD022582,C1338,P028,Dec 06 2024,1,4358.04,DONE,CASA,Carte,L19,2024-12-11
CMD028069,C1162,P015,2025-04-11,3,1761.22,annule,Rabat,Cash,,2025-04-14
CMD017027,C1196,P025,Mar 07 2026,4,1918.61,annulé,marrakech,PayPal,L03,2026-03-12
CMD031638,C1467,P008,Aug 21 2024,4,1048.03,livré,CAS,Cash,L18,2024-08-28
CMD010956,C1414,P005,May 25 2025,5,3451.5,retourné,MARRAKECH,Virement,L05,2025-05-30
CMD005349,C1216,P037,Jan 06 2026,3,656.23,livré,Fès,PayPal,L18,2026-01-16
CMD012636,C0707,P018,2025-10-01,4,4444.53,DONE,Fez,Cash,L07,2025-10-03
CMD038254,C1788,P001,Aug 17 2024,5,3392.36,DONE,casablanca,Cash,L15,2024-08-27
CMD011100,C1380,P045,05/06/2024,3,456.5,annulé,Tanger,Virement,L11,2024-06-07
CMD011036,C1491,P050,02/09/2025,3,545.36,OK,Casablanca,Carte,L02,2025-09-09
CMD049650,C1264,P006,2025-07-29,1,4504.69,livré,Rabat,Virement,L18,2025-08-05
CMD041621,C1059,P038,2025-11-22,5,4315.27,annule,TNG,PayPal,,2025-11-27
CMD045518,C0447,P026,2026-02-17,5,4128.44,livré,MARRAKECH,Virement,L01,2026-02-22
CMD018671,C0440,P016,Apr 24 2024,2,4226.59,annulé,Tnja,Virement,L01,2024-04-29
CMD006144,C1581,P021,2024-08-17,5,2584.98,livre,Fès,Cash,L07,2024-08-23
CMD016611,C1480,P024,10/09/2025,5,2161.1,livré,Fez,Cash,L03,2025-09-18
CMD049899,C0111,P041,2025-03-29,1,1654.65,retourne,MARRAKECH,Virement,L17,2025-04-02
CMD025265,C1201,P022,Jul 27 2024,2,268.18,OK,CASA,Carte,L20,2024-08-02
CMD047421,C1090,P006,2025-12-15,2,199.44,DONE,Casa,Virement,L07,2025-12-23
CMD006182,C1398,P026,10/01/2026,3,3025.4,DONE,CASA,Cash,L14,2026-01-19
CMD015841,C0949,P034,05/08/2025,5,2123.24,retourné,Rabat,Carte,L17,2025-08-15
CMD018296,C1522,P037,2024-09-05,2,4724.26,retourné,TANGER,Virement,L18,2024-09-08
CMD000880,C1864,P045,09/09/2024,1,1016.43,livré,MARRAKECH,Cash,L11,2024-09-16
CMD023851,C0095,P002,Oct 26 2025,2,2522.87,livre,CAS,Carte,L14,2025-11-05
CMD034534,C1998,P029,16/01/2025,4,1188.43,DONE,tanger ,Carte,L02,2025-01-21
CMD004977,C1184,P043,2025-07-15,2,0.0,livré,Casa,Cash,L09,2025-07-25
CMD029475,C0612,P034,Mar 25 2025,1,227.98,retourné,marrakech,Carte,L08,2025-04-03
CMD010176,C1806,P036,Mar 19 2025,5,2588.78,annule,fes,Virement,L05,2025-03-21
CMD044093,C1139,P038,2024-04-20,3,329.9,retourne,TNG,PayPal,L10,2024-04-27
CMD021274,C0830,P036,2025-08-31,3,4289.14,retourné,Fès,PayPal,L10,2025-09-08
CMD038505,C1666,P006,19/08/2024,2,4483.23,livré,Tanger,Cash,L05,2024-08-22
CMD007525,C0041,P002,2024-08-24,5,493.37,livré,RBA,Virement,L07,2024-08-27
CMD024522,C1732,P017,2024-12-23,3,4802.39,retourné,marrakech,PayPal,L20,2024-12-27
CMD030786,C1727,P009,2026-02-26,4,3379.62,DONE,MRK,PayPal,L17,2026-03-08
CMD049147,C1311,P030,2026-03-23,3,3594.33,retourne,tanger ,Cash,L09,2026-03-29
CMD020483,C1886,P048,12/05/2025,1,1625.23,en_cours,tanger ,Virement,,2025-05-21
CMD023806,C0612,P027,May 29 2025,3,1124.26,livré,CAS,Virement,L19,2025-05-31
CMD031297,C0927,P016,2025-03-14,3,3350.67,OK,Casablanca,Carte,L12,2025-03-15
CMD026478,C0184,P010,Mar 23 2026,5,4994.69,KO,tanger ,PayPal,L10,2026-04-02
CMD003155,C1712,P027,2024-07-05,5,1738.57,DONE,Tanger,PayPal,,2024-07-07
