code_ville,nom_ville_standard,province,region_admin,zone_geo,population,code_postal
TNG,Tanger,Tanger-Assilah,Tanger-Tétouan-Al Hoceïma,Nord,1200000,90000
CAS,Casablanca,Casablanca,Casablanca-Settat,Centre,3700000,20000
RBT,Rabat,Rabat,Rabat-Salé-Kénitra,Centre,580000,10000
MRK,Marrakech,Marrakech,Marrakech-Safi,Sud,930000,40000
FES,Fès,Fès,Fès-Meknès,Centre,1200000,30000
AGD,Agadir,Agadir-Ida Ou Tanane,Souss-Massa,Sud,420000,80000
TET,Tétouan,Tétouan,Tanger-Tétouan-Al Hoceïma,Nord,380000,93000
OUJ,Oujda,Oujda-Angad,Oriental,Est,490000,60000
KHN,Kénitra,Kénitra,Rabat-Salé-Kénitra,Centre,430000,14000
BEN,Benguerir,Rehamna,Marrakech-Safi,Sud,90000,43150
